acceptOutOfStateLicence,terminalName,businessRequired,street1,street2,city,state,postalCode,company,
TRUE,FedEx Freight Service Center,FALSE,2920 DAVEY ALLISON BLVD,,BESSEMER,AL,35020,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,5150 NORMAN BRIDGE RD,,MONTGOMERY,AL,36105,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,6250 RANGELINE RD,,THEODORE,AL,35756,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,113 COMMERCIAL LN,,DOTHAN,AL,36303,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,17147 HWY 280 E,,SMITHS,AL,36877,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,3801 GILBERTS FERRY RD,,OHATCHEE,AL,36271,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,15154 W. CAMELBACK ROAD,,LITCHFIELD PARK,AZ,85340,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,3450 S. 59TH AVENUE,,PHOENIX,AZ,85043,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,3333 S COUNTRY CLUB RD,,TUCSON,AZ,85713,FEDEX,
FALSE,FedEx Freight Service Center,TRUE,5345 N DODGE AVE,,FLAGSTAFF,AZ,86004,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,4955 N INTERSTATE WAY,,KINGMAN,AZ,86401,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,419 S BLOOMINGTON ST,,LOWELL,AR,72745,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,5701 LINDSEY RD,,LITTLE ROCK,AR,72206,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,3101 FOX RD,,JONESBORO,AR,72404,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,3301 MID AMERICA BLVD,,WEST MEMPHIS,AR,72301,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,3903 WHEELER AVE,,FORT SMITH,AR,72901,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,8001 N. HWY 67,,TEXARKANA,AR,71854,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,221 ROBINSON AVE ,,CALEXICO,CA,92231,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,700 KEENAN CT,,CHICO,CA,95938,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,225 N Greenville Rd,,Livermore,CA,94551,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,12100 Riverside Dr,,Mira Loma,CA,91752,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,1392 ENGINEER STREET,,NORTH SAN DIEGO,CA,92081,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,29001 HOPKINS ST,,OAKLAND,CA,94545,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,310 W GROVE,,ORANGE,CA,92865,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,2250 AIRWAY LANE,,OTAY MESA,CA,92154,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,560 KINETIC DRIVE,,OXNARD,CA,93030,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,20388 HARVILL AVE,,PERRIS,CA,92570,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,8562 COMMERCIAL WAY,,REDDING,CA,96002,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,15200 South Main St,,GARDENA,CA,90248,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,4075 Channel Dr,,WEST SACRAMENTO,CA,95691,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,6707 Work St,,Salinas,CA,93901,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,7250 N Cajon BLVD,,SAN BERNARDINO,CA,92407,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,11911 BRANFORD ST,,SUN VALLEY,CA,91352,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,3255 Victor St ,,Santa Clara,CA,95054,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,3200 WORKMAN MILL RD,,WHITTIER,CA,90601,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,6180 AIRPORT RD,,COLORADO SPRINGS,CO,80916,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,9351 Willow Court,,Henderson,CO,80640,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,142 Spring Creek Circle,,Gypsum,CO,81637,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,788 22 Rd,,Grand Junction,CO,81505,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,16640 E I-25 FRONTAGE RD,,MEAD,CO,80542,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,130 OLD COUNTY CIRCLE,,Windsor Locks,CT,06096,FEDEX,
TRUE,FedEx Freight Service Center,FALSE,161 MARSH HILL RD,,ORANGE,CT,06477,FEDEX,
